ID,Titulos,HUBsci,Categoria,Autores,Descripcion,Año
29,The role of the right temporoparietal junction in intersensory conflict:,https://sci-hub.se/https://link.springer.com/article/10.1007/s00221-010-2198-2,NeuroCiencia,"PapeoL,LongoM.R,FeurraM,Haggard","The role of the right temporoparietal junction in intersensory conflict: detection or resolution? Experimental Brain Research, 206(2), 129–139.",2010
30,The Out-of-Body Experience: Disturbed Self-Processing at the Temporo-Parietal Junction. The,https://sci-hub.se/https://journals.sagepub.com/doi/pdf/10.1177/1073858404270885,NeuroCiencia,"BlankeO,Arzy","The Out-of-Body Experience: Disturbed Self-Processing at the Temporo-Parietal Junction. The Neuroscientist, 11(1), 16–24.",2005
31,Believing androids – fMRI activation in the right temporo-parietal junction,https://sci-hub.se/https://www.tandfonline.com/doi/abs/10.1080/17470919.2016.1207702,NeuroCiencia,"ÖzdemC,WieseE,WykowskaA,MüllerH,BrassM,VanOverwalle","Believing androids – fMRI activation in the right temporo-parietal junction is modulated by ascribing intentions to non-human agents. Social Neuroscience, 12(5), 582–593.",2016
32,Disruption of the Right Temporoparietal Junction Impairs Probabilistic Belief Updating.,https://sci-hub.se/https://www.jneurosci.org/content/37/22/5419.abstract,NeuroCiencia,"MengottiP,DombertP.L,FinkG.R,Vossel","Disruption of the Right Temporoparietal Junction Impairs Probabilistic Belief Updating. The Journal of Neuroscience, 37(22), 5419–5428.",2017
33,Right Temporoparietal Junction Involvement in Autonomic Responses to the Suffering,https://sci-hub.se/https://www.frontiersin.org/articles/10.3389/fnhum.2020.00007/full,NeuroCiencia,"MillerJ.G,XiaG,HastingsP.","Right Temporoparietal Junction Involvement in Autonomic Responses to the Suffering of Others: A Preliminary Transcranial Magnetic Stimulation Study. Frontiers in Human Neuroscience, 14.",2020
34,The inferior parietal lobule and temporoparietal junction: A network perspective.,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0028393217300015,NeuroCiencia,"IgelströmK.M,GrazianoM.S.","The inferior parietal lobule and temporoparietal junction: A network perspective. Neuropsychologia, 105, 70–83.",2017
35,Lateralization in intrinsic functional connectivity of the temporoparietal junction with,https://sci-hub.se/https://journals.physiology.org/doi/abs/10.1152/jn.00674.2012,NeuroCiencia,"KucyiA,HodaieM,DavisK.","Lateralization in intrinsic functional connectivity of the temporoparietal junction with salience- and attention-related brain networks. Journal of Neurophysiology, 108(12), 3382–3392.",2012
36,The Role of the Temporoparietal Junction in Self-Other Distinction. Brain,https://sci-hub.se/https://link.springer.com/article/10.1007/s10548-019-00737-5,NeuroCiencia,"QuesqueF,Brass",The Role of the Temporoparietal Junction in Self-Other Distinction. Brain Topography.,2019
37,Distinct contributions of extrastriate body area and temporoparietal junction in,https://sci-hub.se/https://link.springer.com/article/10.3758/s13415-014-0312-9,NeuroCiencia,"CazzatoV,MianE,SerinoA,MeleS,Urgesi","Distinct contributions of extrastriate body area and temporoparietal junction in perceiving one’s own and others’ body. Cognitive, Affective, & Behavioral Neuroscience, 15(1), 211–228.",2014
38,What gets the attention of the temporo-parietal junction? An fMRI,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0028393210001934,NeuroCiencia,"YoungL,Dodell-FederD,Saxe","What gets the attention of the temporo-parietal junction? An fMRI investigation of attention and theory of mind. Neuropsychologia, 48(9), 2658–2664.",2010
39,“Who is talking to me?” — Self–other attribution of auditory,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0920996415300116,NeuroCiencia,"PlazeM,ManginJ.-F,Paillère-MartinotM.-L,ArtigesE,OliéJ.-P,KrebsM.-O,Cachia","“Who is talking to me?” — Self–other attribution of auditory hallucinations and sulcation of the right temporoparietal junction. Schizophrenia Research, 169(1-3), 95–100.",2015
40,Visual Short-Term Memory Load Suppresses Temporo-Parietal Junction Activity and Induces,https://sci-hub.se/https://journals.sagepub.com/doi/pdf/10.1111/j.1467-9280.2005.01645.x,NeuroCiencia,"ToddJ.J,FougnieD,Marois","Visual Short-Term Memory Load Suppresses Temporo-Parietal Junction Activity and Induces Inattentional Blindness. Psychological Science, 16(12), 965–972.",2005
41,Contribution of the right temporoparietal junction and ventromedial prefrontal cortex,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/aur.2538,NeuroCiencia,"SalehinejadM.A,PakniaN,HosseinpourA.H,YavariF,VicarioC.M,NitscheM.A,Nejati","Contribution of the right temporoparietal junction and ventromedial prefrontal cortex to theory of mind in autism: A randomized, sham‐controlled tDCS study. Autism Research, 14(8), 1572–1584.",2021
42,Transcranial direct current stimulation of the right temporoparietal junction impairs,https://sci-hub.se/https://link.springer.com/article/10.3758/s13415-016-0462-z,NeuroCiencia,"VanElkM,DuizerM,SligteI,vanSchie","Transcranial direct current stimulation of the right temporoparietal junction impairs third-person perspective taking. Cognitive, Affective, & Behavioral Neuroscience, 17(1), 9–23.",2016
43,Right Temporoparietal Junction Transcranial Magnetic Stimulation in the Treatment of,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0033318218301336,NeuroCiencia,"PetersonK.T,KosiorR,MeekB.P,NgM,PerezD.L,Modirrousta",Right Temporoparietal Junction Transcranial Magnetic Stimulation in the Treatment of Psychogenic Nonepileptic Seizures: A Case Series. Psychosomatics.,2018
44,The evolution of the temporoparietal junction and posterior superior temporal,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0010945219300462,NeuroCiencia,"PatelG.H,SestieriC,Corbetta",The evolution of the temporoparietal junction and posterior superior temporal sulcus. Cortex.,2019
45,The Right Temporoparietal Junction Supports Speech Tracking During Selective Listening:,https://sci-hub.se/https://www.jneurosci.org/content/37/47/11505?utm_source=TrendMD&utm_medium=cpc&utm_campaign=JNeurosci_TrendMD_1,NeuroCiencia,"PuschmannS,SteinkampS,GillichI,MirkovicB,DebenerS,ThielC.","The Right Temporoparietal Junction Supports Speech Tracking During Selective Listening: Evidence from Concurrent EEG-fMRI. The Journal of Neuroscience, 37(47), 11505–11516.",2017
46,"Characterization of the temporo-parietal junction by combining data-driven parcellation, complementary",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811913005405,NeuroCiencia,"BzdokD,LangnerR,SchilbachL,JakobsO,RoskiC,CaspersS,EickhoffS.","Characterization of the temporo-parietal junction by combining data-driven parcellation, complementary connectivity analyses, and functional decoding. NeuroImage, 81, 381–392.",2013
47,Noninvasive stimulation of the temporoparietal junction: A systematic review. Neuroscience,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0149763415001529,NeuroCiencia,"DonaldsonP.H,RinehartN.J,EnticottP.","Noninvasive stimulation of the temporoparietal junction: A systematic review. Neuroscience & Biobehavioral Reviews, 55, 547–572.",2015
48,Where did you “left” Piazza del Popolo? At your “right”,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0010945215003032,NeuroCiencia,"CommitteriG,PiccardiL,GalatiG,Guariglia","Where did you “left” Piazza del Popolo? At your “right” temporo-parietal junction. Cortex, 73, 106–111.",2015
49,Temporo-parietal junction stimulation in the treatment of depersonalization disorder. Psychiatry,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0165178110005305,NeuroCiencia,"MantovaniA,SimeonD,UrbanN,BulowP,AllartA,Lisanby","Temporo-parietal junction stimulation in the treatment of depersonalization disorder. Psychiatry Research, 186(1), 138–140.",2011
50,A double-blind HD-tDCS/EEG study examining right temporoparietal junction involvement in,https://sci-hub.se/https://www.tandfonline.com/doi/abs/10.1080/17470919.2019.1572648,NeuroCiencia,"DonaldsonP.H,KirkovskiM,RinehartN.J,EnticottP.","A double-blind HD-tDCS/EEG study examining right temporoparietal junction involvement in facial emotion processing. Social Neuroscience, 14(6), 681–696.",2019
51,Transcranial direct current stimulation (tDCS) over right temporoparietal junction (rTPJ),https://sci-hub.se/https://link.springer.com/article/10.1007/s00702-018-1938-5,NeuroCiencia,"EsseWilsonJ,TrumboM.C,WilsonJ.K,TescheC.",Transcranial direct current stimulation (tDCS) over right temporoparietal junction (rTPJ) for social cognition and social skills in adults with autism spectrum disorder (ASD). Journal of Neural Transmission.,2018
52,Effects of timing and movement uncertainty implicate the temporo-parietal junction,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811909004315,NeuroCiencia,"JakobsO,WangL.E,DafotakisM,GrefkesC,ZillesK,EickhoffS.","Effects of timing and movement uncertainty implicate the temporo-parietal junction in the prediction of forthcoming motor actions. NeuroImage, 47(2), 667–677.",2009
