Titulos,URL,HUBsci,Categoria
Disconnection from prediction: a systematic review on the role of right temporoparietal junction in aberrant predictive processing,https://www.sciencedirect.com/science/article/pii/S0149763422002020,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0149763422002020,NeuroCiencia
Diminishing parochialism in intergroup conflict by disrupting the right temporo-parietal junction,https://academic.oup.com/scan/article-abstract/9/5/653/1676226,https://sci-hub.se/https://academic.oup.com/scan/article-abstract/9/5/653/1676226,NeuroCiencia
Functional activity of the right temporo-parietal junction and of the medial prefrontal cortex associated with true and false belief reasoning,https://www.sciencedirect.com/science/article/pii/S1053811912000900,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811912000900,NeuroCiencia
The role of the right temporoparietal junction in intersensory conflict: detection or resolution?,https://link.springer.com/article/10.1007/s00221-010-2198-2,https://sci-hub.se/https://link.springer.com/article/10.1007/s00221-010-2198-2,NeuroCiencia
The out-of-body experience: disturbed self-processing at the temporo-parietal junction,https://journals.sagepub.com/doi/pdf/10.1177/1073858404270885,https://sci-hub.se/https://journals.sagepub.com/doi/pdf/10.1177/1073858404270885,NeuroCiencia
Believing androids–fMRI activation in the right temporo-parietal junction is modulated by ascribing intentions to non-human agents,https://www.tandfonline.com/doi/abs/10.1080/17470919.2016.1207702,https://sci-hub.se/https://www.tandfonline.com/doi/abs/10.1080/17470919.2016.1207702,NeuroCiencia
Disruption of the right temporoparietal junction impairs probabilistic belief updating,https://www.jneurosci.org/content/37/22/5419.abstract,https://sci-hub.se/https://www.jneurosci.org/content/37/22/5419.abstract,NeuroCiencia
"Temporo-parietal junction activity in theory-of-mind tasks: falseness, beliefs, or attention",https://direct.mit.edu/jocn/article-abstract/21/6/1179/4678,https://sci-hub.se/https://direct.mit.edu/jocn/article-abstract/21/6/1179/4678,NeuroCiencia
A specific hypoactivation of right temporo-parietal junction/posterior superior temporal sulcus in response to socially awkward situations in autism,https://academic.oup.com/scan/article-abstract/10/10/1348/1647263,https://sci-hub.se/https://academic.oup.com/scan/article-abstract/10/10/1348/1647263,NeuroCiencia
[HTML] Right temporoparietal junction involvement in autonomic responses to the suffering of others: A preliminary transcranial magnetic stimulation study,https://www.frontiersin.org/articles/10.3389/fnhum.2020.00007/full,https://sci-hub.se/https://www.frontiersin.org/articles/10.3389/fnhum.2020.00007/full,NeuroCiencia
The inferior parietal lobule and temporoparietal junction: a network perspective,https://www.sciencedirect.com/science/article/pii/S0028393217300015,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0028393217300015,NeuroCiencia
Impaired right temporoparietal junction–hippocampus connectivity in schizophrenia and its relevance for generating representations of other minds,https://academic.oup.com/schizophreniabulletin/article-abstract/45/4/934/5099449,https://sci-hub.se/https://academic.oup.com/schizophreniabulletin/article-abstract/45/4/934/5099449,NeuroCiencia
Lateralization in intrinsic functional connectivity of the temporoparietal junction with salience-and attention-related brain networks,https://journals.physiology.org/doi/abs/10.1152/jn.00674.2012,https://sci-hub.se/https://journals.physiology.org/doi/abs/10.1152/jn.00674.2012,NeuroCiencia
The role of the temporoparietal junction in self-other distinction,https://link.springer.com/article/10.1007/s10548-019-00737-5,https://sci-hub.se/https://link.springer.com/article/10.1007/s10548-019-00737-5,NeuroCiencia
Distinct contributions of extrastriate body area and temporoparietal junction in perceiving one's own and others' body,https://link.springer.com/article/10.3758/s13415-014-0312-9,https://sci-hub.se/https://link.springer.com/article/10.3758/s13415-014-0312-9,NeuroCiencia
What gets the attention of the temporo-parietal junction? An fMRI investigation of attention and theory of mind,https://www.sciencedirect.com/science/article/pii/S0028393210001934,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0028393210001934,NeuroCiencia
Transcranial magnetic stimulation over the right temporoparietal junction influences the sense of agency in healthy humans,https://www.jpn.ca/content/45/4/271.short,https://sci-hub.se/https://www.jpn.ca/content/45/4/271.short,NeuroCiencia
“Who is talking to me?”—self–other attribution of auditory hallucinations and sulcation of the right temporoparietal junction,https://www.sciencedirect.com/science/article/pii/S0920996415300116,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0920996415300116,NeuroCiencia
Visual short-term memory load suppresses temporo-parietal junction activity and induces inattentional blindness,https://journals.sagepub.com/doi/pdf/10.1111/j.1467-9280.2005.01645.x,https://sci-hub.se/https://journals.sagepub.com/doi/pdf/10.1111/j.1467-9280.2005.01645.x,NeuroCiencia
"Contribution of the right temporoparietal junction and ventromedial prefrontal cortex to theory of mind in autism: A randomized, sham‐controlled tDCS study",https://onlinelibrary.wiley.com/doi/abs/10.1002/aur.2538,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/aur.2538,NeuroCiencia
Role of right temporoparietal junction for counterfactual evaluation of partner's decision in ultimatum game,https://academic.oup.com/cercor/article-abstract/33/6/2947/6611463,https://sci-hub.se/https://academic.oup.com/cercor/article-abstract/33/6/2947/6611463,NeuroCiencia
Neuromodulation of the right temporoparietal junction alters amygdala functional connectivity to authority pressure,https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.26037,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.26037,NeuroCiencia
[HTML] Transcranial direct current stimulation of the right temporoparietal junction impairs third-person perspective taking,https://link.springer.com/article/10.3758/s13415-016-0462-z,https://sci-hub.se/https://link.springer.com/article/10.3758/s13415-016-0462-z,NeuroCiencia
[HTML] Right temporoparietal junction encodes inferred visual knowledge of others,https://www.sciencedirect.com/science/article/pii/S0028393222001026,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0028393222001026,NeuroCiencia
Right temporoparietal junction transcranial magnetic stimulation in the treatment of psychogenic nonepileptic seizures: a case series,https://www.sciencedirect.com/science/article/pii/S0033318218301336,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0033318218301336,NeuroCiencia
The evolution of the temporoparietal junction and posterior superior temporal sulcus,https://www.sciencedirect.com/science/article/pii/S0010945219300462,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0010945219300462,NeuroCiencia
The right temporoparietal junction supports speech tracking during selective listening: Evidence from concurrent EEG-fMRI,https://www.jneurosci.org/content/37/47/11505?utm_source=TrendMD&utm_medium=cpc&utm_campaign=JNeurosci_TrendMD_1,https://sci-hub.se/https://www.jneurosci.org/content/37/47/11505?utm_source=TrendMD&utm_medium=cpc&utm_campaign=JNeurosci_TrendMD_1,NeuroCiencia
"Characterization of the temporo-parietal junction by combining data-driven parcellation, complementary connectivity analyses, and functional decoding",https://www.sciencedirect.com/science/article/pii/S1053811913005405,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811913005405,NeuroCiencia
